"Backend","PP","Environment","Model.Unique","response","SE","df","lower.CL","upper.CL"
"wasm-bypass","js","Firefox","steerable-nafx",0.000142909817978508,1.17856264269668e-06,1296.00000000011,0.000140616321316786,0.000145240722295956
"js-bypass","js","Firefox","steerable-nafx",0.000145543436035011,1.20028182126982e-06,1295.99999999986,0.000143207673598227,0.000147917295495676
"js-onnx","js","Firefox","steerable-nafx",0.0207260967927181,0.000170925999027486,1295.99999999998,0.0203934728031489,0.0210641459847286
"wasm-onnx","js","Firefox","steerable-nafx",0.0209800830778991,0.000173020597927032,1295.99999999961,0.0206433829744182,0.0213222748665281
"wasm-bypass","wasm","Safari","steerable-nafx",0.000154385934578386,1.27320500176736e-06,1295.99999999998,0.000151908262781018,0.000156904017986177
"js-bypass","wasm","Safari","steerable-nafx",0.000160616686043804,1.3245893714135e-06,1295.99999999998,0.000158039019663222,0.000163236394978078
"js-onnx","wasm","Safari","steerable-nafx",0.0206298567391509,0.000170132317155454,1295.99999999998,0.0202987772637704,0.0209663362254578
"wasm-onnx","wasm","Safari","steerable-nafx",0.0208792179992253,0.000172188773946294,1295.99999999998,0.0205441366349219,0.0212197646465289
"wasm-bypass","js","Safari","steerable-nafx",0.000152188296206521,1.25508130303294e-06,1295.99999999998,0.000149745893338474,0.000154670535437602
"js-bypass","js","Safari","steerable-nafx",0.000167150888314673,1.37847626879537e-06,1295.99999999998,0.000164468357402688,0.000169877172154014
"js-onnx","js","Safari","steerable-nafx",0.020598317173361,0.000169872213584321,1295.99999999974,0.0202677438625665,0.0209342822393776
"wasm-onnx","js","Safari","steerable-nafx",0.020910892971654,0.000172449994202123,1296.00000000011,0.0205753032696832,0.0212519562477731
